CountryCode,Country,Year,Bacteria,Resistance_target,Resistance_pct,Community_J01_DDD_per_1000,Hospital_J01_DDD_per_1000,Total_J01_DDD_per_1000
HR,Croatia,2016,Staphylococcus aureus,Meticillin (MRSA),25.32751091,17.0636,1.5563000000000002,18.6199
HR,Croatia,2017,Escherichia coli,Third-generation cephalosporins,16.46341463,16.8237,1.6525,18.4762
HR,Croatia,2017,Klebsiella pneumoniae,Third-generation cephalosporins,41.74757281,16.8237,1.6525,18.4762
HR,Croatia,2017,Staphylococcus aureus,Meticillin (MRSA),28.46153846,16.8237,1.6525,18.4762
HR,Croatia,2018,Escherichia coli,Third-generation cephalosporins,14.81164383,16.9869,1.7114,18.6983
HR,Croatia,2018,Klebsiella pneumoniae,Third-generation cephalosporins,44.33962264,16.9869,1.7114,18.6983
HR,Croatia,2018,Staphylococcus aureus,Meticillin (MRSA),26.41921397,16.9869,1.7114,18.6983
HR,Croatia,2019,Escherichia coli,Third-generation cephalosporins,15.94470046,16.9312,1.7657,18.6969
HR,Croatia,2019,Klebsiella pneumoniae,Third-generation cephalosporins,52.99684542,16.9312,1.7657,18.6969
HR,Croatia,2019,Staphylococcus aureus,Meticillin (MRSA),24.86033519,16.9312,1.7657,18.6969
HR,Croatia,2020,Escherichia coli,Third-generation cephalosporins,16.56590084,14.044500000000001,1.5384,15.5829
HR,Croatia,2020,Klebsiella pneumoniae,Third-generation cephalosporins,52.22222222,14.044500000000001,1.5384,15.5829
HR,Croatia,2020,Staphylococcus aureus,Meticillin (MRSA),29.24528301,14.044500000000001,1.5384,15.5829
HR,Croatia,2021,Escherichia coli,Third-generation cephalosporins,18.59504132,16.2195,1.8441999999999998,18.0637
HR,Croatia,2021,Klebsiella pneumoniae,Third-generation cephalosporins,62.04986149,16.2195,1.8441999999999998,18.0637
HR,Croatia,2021,Staphylococcus aureus,Meticillin (MRSA),34.83333333,16.2195,1.8441999999999998,18.0637
HR,Croatia,2022,Escherichia coli,Third-generation cephalosporins,17.42654508,18.1743,1.8938999999999997,20.068199999999997
HR,Croatia,2022,Klebsiella pneumoniae,Third-generation cephalosporins,54.200542,18.1743,1.8938999999999997,20.068199999999997
HR,Croatia,2022,Staphylococcus aureus,Meticillin (MRSA),31.09656301,18.1743,1.8938999999999997,20.068199999999997
CZ,Czechia,2021,Escherichia coli,Third-generation cephalosporins,14.41717791,11.4827,2.1365000000000003,13.6192
CZ,Czechia,2021,Klebsiella pneumoniae,Third-generation cephalosporins,49.69097651,11.4827,2.1365000000000003,13.6192
CZ,Czechia,2021,Staphylococcus aureus,Meticillin (MRSA),9.43396226,11.4827,2.1365000000000003,13.6192
CZ,Czechia,2022,Escherichia coli,Third-generation cephalosporins,14.75042063,13.926,3.0804,17.0064
CZ,Czechia,2022,Klebsiella pneumoniae,Third-generation cephalosporins,49.57264957,13.926,3.0804,17.0064
CZ,Czechia,2022,Staphylococcus aureus,Meticillin (MRSA),7.48862225,13.926,3.0804,17.0064
DK,Denmark,2013,Escherichia coli,Third-generation cephalosporins,8.07833537,15.6507,1.8382999999999998,17.489
DK,Denmark,2013,Klebsiella pneumoniae,Third-generation cephalosporins,11.53119092,15.6507,1.8382999999999998,17.489
DK,Denmark,2013,Staphylococcus aureus,Meticillin (MRSA),1.72106824,15.6507,1.8382999999999998,17.489
DK,Denmark,2014,Escherichia coli,Third-generation cephalosporins,7.00680272,15.169999999999998,1.9429,17.1129
DK,Denmark,2014,Klebsiella pneumoniae,Third-generation cephalosporins,7.56756756,15.169999999999998,1.9429,17.1129
DK,Denmark,2014,Staphylococcus aureus,Meticillin (MRSA),2.45464247,15.169999999999998,1.9429,17.1129
DK,Denmark,2015,Escherichia coli,Third-generation cephalosporins,7.4764306,15.302,2.1583,17.4603
DK,Denmark,2015,Klebsiella pneumoniae,Third-generation cephalosporins,7.7502691,15.302,2.1583,17.4603
DK,Denmark,2015,Staphylococcus aureus,Meticillin (MRSA),1.54584221,15.302,2.1583,17.4603
DK,Denmark,2016,Escherichia coli,Third-generation cephalosporins,6.56793303,15.1533,1.8023,16.9556
DK,Denmark,2016,Klebsiella pneumoniae,Third-generation cephalosporins,7.51341681,15.1533,1.8023,16.9556
DK,Denmark,2016,Staphylococcus aureus,Meticillin (MRSA),1.98675496,15.1533,1.8023,16.9556
DK,Denmark,2017,Escherichia coli,Third-generation cephalosporins,6.90149498,14.3209,1.8621,16.183
DK,Denmark,2017,Klebsiella pneumoniae,Third-generation cephalosporins,7.28888888,14.3209,1.8621,16.183
DK,Denmark,2017,Staphylococcus aureus,Meticillin (MRSA),2.50501002,14.3209,1.8621,16.183
DK,Denmark,2018,Escherichia coli,Third-generation cephalosporins,7.65570039,13.6035,1.8982,15.5017
DK,Denmark,2018,Klebsiella pneumoniae,Third-generation cephalosporins,6.47109577,13.6035,1.8982,15.5017
DK,Denmark,2018,Staphylococcus aureus,Meticillin (MRSA),1.65061898,13.6035,1.8982,15.5017
DK,Denmark,2019,Escherichia coli,Third-generation cephalosporins,7.54272245,13.4223,1.8173,15.2396
DK,Denmark,2019,Klebsiella pneumoniae,Third-generation cephalosporins,6.65064102,13.4223,1.8173,15.2396
DK,Denmark,2019,Staphylococcus aureus,Meticillin (MRSA),2.20994475,13.4223,1.8173,15.2396
DK,Denmark,2020,Escherichia coli,Third-generation cephalosporins,6.6969353,12.504199999999999,1.7106999999999999,14.214899999999998
DK,Denmark,2020,Klebsiella pneumoniae,Third-generation cephalosporins,6.01265822,12.504199999999999,1.7106999999999999,14.214899999999998
DK,Denmark,2020,Staphylococcus aureus,Meticillin (MRSA),1.71548117,12.504199999999999,1.7106999999999999,14.214899999999998
DK,Denmark,2021,Escherichia coli,Third-generation cephalosporins,6.16691285,12.597599999999998,1.7619,14.359499999999999
DK,Denmark,2021,Klebsiella pneumoniae,Third-generation cephalosporins,5.13029315,12.597599999999998,1.7619,14.359499999999999
DK,Denmark,2021,Staphylococcus aureus,Meticillin (MRSA),1.80746561,12.597599999999998,1.7619,14.359499999999999
DK,Denmark,2022,Escherichia coli,Third-generation cephalosporins,6.62786331,13.318,1.7857999999999998,15.1038
DK,Denmark,2022,Klebsiella pneumoniae,Third-generation cephalosporins,5.22508038,13.318,1.7857999999999998,15.1038
DK,Denmark,2022,Staphylococcus aureus,Meticillin (MRSA),1.85089974,13.318,1.7857999999999998,15.1038
EE,Estonia,2013,Escherichia coli,Third-generation cephalosporins,7.35294117,10.3141,1.6397000000000002,11.9538
EE,Estonia,2013,Klebsiella pneumoniae,Third-generation cephalosporins,23.33333333,10.3141,1.6397000000000002,11.9538
EE,Estonia,2013,Staphylococcus aureus,Meticillin (MRSA),3.52941176,10.3141,1.6397000000000002,11.9538
EE,Estonia,2014,Escherichia coli,Third-generation cephalosporins,9.26829268,10.2132,1.6426,11.8558
EE,Estonia,2014,Klebsiella pneumoniae,Third-generation cephalosporins,20.74074074,10.2132,1.6426,11.8558
EE,Estonia,2014,Staphylococcus aureus,Meticillin (MRSA),3.13901345,10.2132,1.6426,11.8558
EE,Estonia,2015,Escherichia coli,Third-generation cephalosporins,11.38211382,10.4963,1.5853000000000002,12.0816
EE,Estonia,2015,Klebsiella pneumoniae,Third-generation cephalosporins,23.65591397,10.4963,1.5853000000000002,12.0816
EE,Estonia,2015,Staphylococcus aureus,Meticillin (MRSA),3.97350993,10.4963,1.5853000000000002,12.0816
EE,Estonia,2016,Escherichia coli,Third-generation cephalosporins,8.98716119,10.3764,1.5487999999999997,11.9252
EE,Estonia,2016,Klebsiella pneumoniae,Third-generation cephalosporins,32.78688524,10.3764,1.5487999999999997,11.9252
EE,Estonia,2016,Staphylococcus aureus,Meticillin (MRSA),3.50318471,10.3764,1.5487999999999997,11.9252
EE,Estonia,2017,Escherichia coli,Third-generation cephalosporins,8.75634517,9.935,1.6139999999999999,11.549
EE,Estonia,2017,Klebsiella pneumoniae,Third-generation cephalosporins,21.11801242,9.935,1.6139999999999999,11.549
EE,Estonia,2017,Staphylococcus aureus,Meticillin (MRSA),2.06896551,9.935,1.6139999999999999,11.549
EE,Estonia,2018,Escherichia coli,Third-generation cephalosporins,9.76470588,10.2127,1.5292000000000001,11.7419
EE,Estonia,2018,Klebsiella pneumoniae,Third-generation cephalosporins,13.592233,10.2127,1.5292000000000001,11.7419
EE,Estonia,2018,Staphylococcus aureus,Meticillin (MRSA),3.34261838,10.2127,1.5292000000000001,11.7419
EE,Estonia,2019,Escherichia coli,Third-generation cephalosporins,11.53846153,10.2308,1.5206000000000002,11.7514
